,n_killed,n_injured,latitude,longitude,Year,Month,Day,labels
80362,0,1,29.9293,-90.0716,2015,7,7,0
135165,0,0,45.6872,-122.657,2016,7,3,0
103240,0,0,43.1183,-79.0313,2015,12,2,0
213771,1,0,30.0494,-95.233,2017,10,2,0
119163,0,0,27.9615,-82.5531,2016,4,6,0
11553,0,0,39.9396,-75.1671,2014,4,4,0
41507,0,0,36.2576,-94.2927,2014,10,2,0
188408,0,1,29.9576,-90.068,2017,5,7,0
92773,0,1,47.4936,-122.084,2015,10,7,0
84809,0,1,40.6268,-76.4326,2015,8,5,0
186673,2,0,38.525,-121.445,2017,5,5,0
67076,1,0,39.8279,-104.967,2015,4,7,0
47868,0,0,30.2768,-89.7593,2014,11,5,0
93951,1,0,36.7103,-121.653,2015,10,1,0
35401,1,0,40.0603,-74.1762,2014,9,7,0
114294,0,1,39.0944,-77.1533,2016,3,3,0
221591,0,1,40.6625,-74.1227,2017,12,1,0
94416,0,0,36.3957,-93.6916,2015,10,4,0
203601,1,0,39.7679,-86.0916,2017,8,2,0
194367,0,2,30.3484,-81.675,2017,6,6,0
16801,1,0,29.6967,-95.3448,2014,5,2,0
223504,1,1,33.7428,-84.2899,2017,12,7,0
120013,0,0,43.1146,-75.2714,2016,4,4,0
166360,0,1,33.4832,-82.0246,2017,1,4,0
150438,0,1,43.4733,-89.7489,2016,10,2,0
165299,0,1,39.8329,-104.986,2017,1,4,0
58128,0,1,43.0607,-87.9776,2015,2,5,0
90474,0,0,33.9163,-83.8988,2015,9,6,0
225341,1,0,42.4135,-82.9645,2017,12,5,0
70060,0,1,40.2886,-76.8942,2015,5,5,0
92083,0,0,36.8118,-88.7864,2015,9,2,0
26483,0,0,34.9366,-81.9923,2014,7,3,0
236969,1,1,40.9123,-73.8491,2018,3,4,0
188866,0,1,35.1049,-89.9852,2017,5,3,0
211446,0,0,38.9376,-92.3342,2017,10,2,0
67585,0,1,33.7523,-84.4333,2015,4,3,0
68949,0,1,39.345,-76.5959,2015,5,5,0
48248,0,0,32.8982,-97.0404,2014,11,1,0
144899,1,0,29.9912,-90.0698,2016,9,2,0
116267,1,0,40.7645,-74.1863,2016,3,1,0
230379,0,1,33.6966,-78.8968,2018,1,2,0
189756,0,1,30.0014,-95.2917,2017,5,1,0
158275,0,0,34.1156,-117.209,2016,11,6,0
9173,0,1,32.4849,-93.736,2014,3,6,0
60734,0,0,36.398,-97.8576,2015,3,6,0
55429,1,0,33.5537,-86.8285,2015,1,2,0
152794,0,0,34.7738,-86.5724,2016,10,1,0
